DATA: 5885 x 14
Ep!
Feature 0
0.405345	rho[0][3]
-0.333754	rho[0][5]
-0.276905	rho[0][10]
0.245954	rho[0][2]
-0.244236	rho[0][8]
-0.179433	rho[0][7]
-0.166889	rho[0][11]
-0.160164	rho[0][9]
-0.126568	rho[0][4]
0.0967317	rho[0][13]
-0.0879241	rho[0][12]
0.0567195	rho[0][1]
0.0426461	rho[0][6]

Feature 1
-0.377691	rho[1][9]
-0.346137	rho[1][10]
0.339418	rho[1][2]
-0.213901	rho[1][5]
-0.178817	rho[1][7]
-0.16773	rho[1][11]
0.147833	rho[1][6]
-0.130523	rho[1][12]
-0.0872638	rho[1][8]
0.0702993	rho[1][3]
0.0630137	rho[1][4]
0.0567195	rho[1][0]
0.00845082	rho[1][13]

Feature 2
-0.433606	rho[2][11]
-0.408291	rho[2][10]
0.339418	rho[2][1]
0.303116	rho[2][3]
-0.299033	rho[2][12]
-0.251496	rho[2][13]
0.245954	rho[2][0]
-0.212567	rho[2][9]
0.0945306	rho[2][4]
-0.0559694	rho[2][6]
0.0490241	rho[2][7]
0.0387817	rho[2][5]
0.0122691	rho[2][8]

Feature 3
-0.523649	rho[3][12]
-0.473918	rho[3][11]
-0.406678	rho[3][10]
0.405345	rho[3][0]
-0.34166	rho[3][13]
0.303116	rho[3][2]
0.284205	rho[3][4]
-0.268462	rho[3][9]
0.184037	rho[3][6]
0.0914953	rho[3][8]
0.0702993	rho[3][1]
-0.0325734	rho[3][5]
-0.00866136	rho[3][7]

Feature 4
-0.508759	rho[4][13]
-0.457029	rho[4][12]
-0.390038	rho[4][11]
0.373597	rho[4][5]
0.284205	rho[4][3]
0.25134	rho[4][7]
-0.24491	rho[4][10]
-0.15719	rho[4][9]
-0.126568	rho[4][0]
0.0945306	rho[4][2]
0.0630137	rho[4][1]
0.0238777	rho[4][6]
0.015249	rho[4][8]

Feature 5
-0.517362	rho[5][13]
0.373597	rho[5][4]
-0.333754	rho[5][0]
0.26691	rho[5][8]
-0.255628	rho[5][12]
-0.213901	rho[5][1]
0.0832562	rho[5][6]
-0.0812152	rho[5][11]
-0.0547362	rho[5][10]
-0.0545459	rho[5][7]
-0.0538849	rho[5][9]
0.0387817	rho[5][2]
-0.0325734	rho[5][3]

Feature 6
-0.303222	rho[6][8]
0.184037	rho[6][3]
-0.162556	rho[6][13]
0.147833	rho[6][1]
0.145755	rho[6][9]
-0.108494	rho[6][10]
0.0832562	rho[6][5]
-0.0603553	rho[6][12]
-0.0559694	rho[6][2]
-0.0529123	rho[6][11]
0.0426461	rho[6][0]
0.0238777	rho[6][4]
-0.0165697	rho[6][7]

Feature 7
0.25134	rho[7][4]
-0.249398	rho[7][11]
0.210384	rho[7][8]
-0.179433	rho[7][0]
-0.178817	rho[7][1]
-0.15555	rho[7][13]
-0.141432	rho[7][9]
-0.13104	rho[7][12]
0.127298	rho[7][10]
-0.0545459	rho[7][5]
0.0490241	rho[7][2]
-0.0165697	rho[7][6]
-0.00866136	rho[7][3]

Feature 8
-0.303222	rho[8][6]
-0.29022	rho[8][12]
0.26691	rho[8][5]
-0.244236	rho[8][0]
-0.213414	rho[8][10]
0.210384	rho[8][7]
-0.208889	rho[8][13]
0.0914953	rho[8][3]
-0.0872638	rho[8][1]
-0.0555529	rho[8][11]
0.0273139	rho[8][9]
0.015249	rho[8][4]
0.0122691	rho[8][2]

Feature 9
-0.377691	rho[9][1]
0.299009	rho[9][12]
0.280176	rho[9][10]
-0.268462	rho[9][3]
-0.212567	rho[9][2]
-0.160164	rho[9][0]
-0.15719	rho[9][4]
0.145755	rho[9][6]
-0.141432	rho[9][7]
0.10024	rho[9][11]
0.078932	rho[9][13]
-0.0538849	rho[9][5]
0.0273139	rho[9][8]

Feature 10
-0.408291	rho[10][2]
-0.406678	rho[10][3]
0.396656	rho[10][11]
0.380595	rho[10][13]
-0.346137	rho[10][1]
0.284441	rho[10][12]
0.280176	rho[10][9]
-0.276905	rho[10][0]
-0.24491	rho[10][4]
-0.213414	rho[10][8]
0.127298	rho[10][7]
-0.108494	rho[10][6]
-0.0547362	rho[10][5]

Feature 11
0.491024	rho[11][12]
-0.473918	rho[11][3]
-0.433606	rho[11][2]
0.396656	rho[11][10]
-0.390038	rho[11][4]
0.277608	rho[11][13]
-0.249398	rho[11][7]
-0.16773	rho[11][1]
-0.166889	rho[11][0]
0.10024	rho[11][9]
-0.0812152	rho[11][5]
-0.0555529	rho[11][8]
-0.0529123	rho[11][6]

Feature 12
-0.523649	rho[12][3]
0.493631	rho[12][13]
0.491024	rho[12][11]
-0.457029	rho[12][4]
-0.299033	rho[12][2]
0.299009	rho[12][9]
-0.29022	rho[12][8]
0.284441	rho[12][10]
-0.255628	rho[12][5]
-0.13104	rho[12][7]
-0.130523	rho[12][1]
-0.0879241	rho[12][0]
-0.0603553	rho[12][6]

Feature 13
-0.517362	rho[13][5]
-0.508759	rho[13][4]
0.493631	rho[13][12]
0.380595	rho[13][10]
-0.34166	rho[13][3]
0.277608	rho[13][11]
-0.251496	rho[13][2]
-0.208889	rho[13][8]
-0.162556	rho[13][6]
-0.15555	rho[13][7]
0.0967317	rho[13][0]
0.078932	rho[13][9]
0.00845082	rho[13][1]

